,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,A Case Of You,Enough Thunder,James Blake,2011-01-01,177400,0,0.55,0.934,0.55,0.263,0.00014,0.11,-11.098,0.0697,66.143,3
39,All I Want Is You,Juno - Music From The Motion Picture,Various Artists,2007-12-11,157586,54,0.557,0.402,0.557,0.407,0.0,0.0638,-11.361,0.0457,180.919,4
40,A Change Is Gonna Come,Otis Redding - Stax Profiles,Otis Redding,2006-01-01,257240,0,0.427,0.454,0.427,0.259,2.52e-06,0.17,-12.328,0.0535,167.099,3
41,Latch,Latch,Disclosure,2012-01-01,256940,0,0.414,0.0117,0.414,0.707,0.000273,0.0691,-6.531,0.233,182.955,3
42,Alive,Alive,Empire of the Sun,2013-01-01,204591,0,0.522,0.103,0.522,0.885,1.25e-06,0.0685,-3.086,0.0362,119.952,4
43,Pharaohs,SBTRKT,SBTRKT,2011-06-27,218146,49,0.795,0.00983,0.795,0.578,0.743,0.115,-8.507,0.0569,127.014,4
44,Reet Petite,Reet Petite,Jackie Wilson,2009-03-13,167280,0,0.668,0.441,0.668,0.655,0.0,0.345,-6.342,0.104,84.12,4
45,If Walls Could Talk,All The Way...A Decade of Song,Céline Dion,1990,318533,0,0.526,0.18,0.526,0.632,0.0,0.0704,-7.781,0.0574,141.878,4
46,1234,Feist Hit Pac - 5 Series,Feist,2009-08-03,184440,0,0.705,0.198,0.705,0.491,4.01e-06,0.0807,-7.379,0.0495,109.95,4
47,Only If For A Night,Ceremonials (Deluxe Edition),Florence + The Machine,2011-01-01,298333,48,0.485,0.0402,0.485,0.737,0.0,0.0923,-5.947,0.033,79.961,4
48,Just Fine,Just Fine (International Version),Mary J. Blige,2007-01-01,257230,0,0.904,0.0342,0.904,0.745,0.000104,0.498,-3.992,0.0557,123.024,4
49,"Hold On, We're Going Home",Nothing Was The Same (Deluxe),Drake,2013-01-01,227880,73,0.773,0.00411,0.773,0.414,3.4e-05,0.0733,-7.436,0.0961,99.993,4
50,"Girl, I Wanna Lay You Down - Live From The Greek",Fly Between Falls,ALO,2005-01-01,278386,11,0.435,0.344,0.435,0.586,0.000186,0.943,-8.974,0.067,180.764,4
51,Drunk in Love (feat. Jay-Z),BEYONCÉ,Beyoncé,2013-12-20,323480,49,0.589,0.00969,0.589,0.621,0.00104,0.181,-6.902,0.0468,140.03,4
52,You Know I'm No Good,Frank & Back To Black,Amy Winehouse,2008-01-01,256946,0,0.705,0.0132,0.705,0.806,0.00428,0.0701,-3.607,0.0309,103.383,4
53,Trumpets,Tattoos,Jason Derulo,2013-09-10,217306,69,0.627,0.563,0.627,0.703,0.0,0.0962,-4.884,0.236,81.897,4
54,Rock Your Body,Justified,Justin Timberlake,2002-11-04,267266,72,0.891,0.202,0.891,0.714,0.000234,0.0521,-6.055,0.14,100.972,4
